category,rank_brand_name,~18,19~23,24~28,29~33,34~39,40~,men,women
상의,커버낫,34,25,18,10,4,9,64,36
상의,스파오,58,14,11,8,5,4,64,36
상의,라퍼지스토어,22,35,25,11,3,4,80,20
상의,후아유,37,21,17,12,7,6,65,35
상의,후아유,28,24,22,15,6,5,58,42
상의,트래블,34,30,16,8,3,9,60,40
상의,이벳필드,34,26,18,9,5,8,64,36
상의,아웃도어 프로덕츠,28,22,19,11,7,13,55,45
상의,라퍼지스토어,16,31,32,14,4,3,83,17
상의,푸마 셀렉트,28,15,19,15,9,14,75,25
상의,마르디 메크르디,29,37,17,6,3,8,14,86
상의,라퍼지스토어,27,43,18,5,2,5,73,27
상의,라퍼지스토어,21,37,25,10,3,4,83,17
상의,와릿이즌,35,28,13,5,4,15,42,58
상의,라퍼지스토어,25,43,20,5,2,5,74,26
상의,그루브라임,34,27,15,8,4,12,56,44
상의,무신사 스탠다드,16,21,26,17,11,9,85,15
상의,스파오,31,30,23,10,3,3,82,18
상의,커버낫,30,25,17,9,5,14,46,54
상의,마르디 메크르디,23,38,22,8,3,6,11,89
상의,마뗑킴,21,50,21,4,1,3,9,91
상의,예일,34,29,14,8,4,11,43,57
상의,수아레,15,33,31,14,4,3,85,15
상의,캘빈클라인 진,36,41,14,3,1,5,14,86
상의,세인트제임스,18,22,31,16,7,6,53,47
상의,비바스튜디오,38,40,12,3,1,6,35,65
상의,테이크이지,17,37,27,11,4,4,85,15
상의,예일,30,29,20,9,3,9,62,38
상의,라퍼지스토어,22,30,27,13,4,4,79,21
상의,무신사 스탠다드,26,29,20,12,6,7,82,18
상의,무신사 스탠다드,14,28,29,16,7,6,82,18
상의,파르티멘토,57,13,12,8,5,5,71,29
상의,커버낫,17,24,31,17,6,5,72,28
상의,엠엘비,34,31,18,6,2,9,35,65
상의,브라운브레스,38,30,12,5,3,12,43,57
상의,캘빈클라인 진,32,40,18,4,1,5,55,45
상의,수아레,24,22,28,14,7,5,86,14
상의,트래블,30,35,16,7,4,8,58,42
상의,엠엘비,33,33,17,6,2,9,28,72
상의,푸마 셀렉트,25,20,27,16,6,6,83,17
상의,캘빈클라인 진,33,38,17,5,1,6,57,43
상의,폴로 랄프 로렌,20,20,28,21,8,3,78,22
상의,메종 키츠네,17,17,28,21,11,6,74,26
상의,예일,47,23,10,6,3,11,60,40
상의,폴로 랄프 로렌,19,37,30,9,2,3,59,41
상의,러브이즈트루,26,43,17,5,3,6,5,95
상의,메종 키츠네,20,37,24,12,3,4,64,36
상의,폴로 랄프 로렌,16,16,33,24,8,3,68,32
상의,마리떼,19,36,27,9,3,6,17,83
상의,브라운브레스,38,31,13,5,3,10,43,57
상의,인템포무드,16,28,30,14,7,5,86,14
상의,캘빈클라인 진,32,39,18,5,1,5,53,47
